,concept_id_1,concept_id_2,relationship_id
135,2128000419,2128021546,Maps to value
136,2128000419,2128021547,Maps to value
137,2128000419,2128021548,Maps to value
138,2128000419,2128021549,Maps to value
139,2128000419,2128021550,Maps to value
140,2128000419,2128021551,Maps to value
141,2128000419,2128021552,Maps to value
142,2128000419,2128021553,Maps to value
143,2128000419,2128021554,Maps to value
144,2128000419,2128021555,Maps to value
145,2128000419,2128021556,Maps to value
146,2128000419,2128021557,Maps to value
147,2128000419,2128021558,Maps to value
148,2128000419,2128021559,Maps to value
149,2128000419,2128021560,Maps to value
150,2128000419,2128021561,Maps to value
151,2128000419,2128021562,Maps to value
152,2128000419,2128021563,Maps to value
153,2128000419,2128021564,Maps to value
154,2128000419,2128021565,Maps to value
155,2128000419,2128021566,Maps to value
156,2128000419,2128021567,Maps to value
157,2128000419,2128021568,Maps to value
158,2128000419,2128021569,Maps to value
159,2128000419,2128021570,Maps to value
160,2128000419,2128021571,Maps to value
161,2128000419,2128021572,Maps to value
162,2128000419,2128021573,Maps to value
163,2128000419,2128021574,Maps to value
164,2128000419,2128021575,Maps to value
165,2128000419,2128021576,Maps to value
166,2128000419,2128021577,Maps to value
167,2128000419,2128021578,Maps to value
168,2128000419,2128021579,Maps to value
169,2128000419,2128021580,Maps to value
170,2128000419,2128021581,Maps to value
171,2128000419,2128021582,Maps to value
172,2128000419,2128021583,Maps to value
173,2128000419,2128021584,Maps to value
174,2128000419,2128021585,Maps to value
175,2128000419,2128021586,Maps to value
176,2128000419,2128021587,Maps to value
177,2128000419,2128021588,Maps to value
178,2128000419,2128021589,Maps to value
179,2128000419,2128021590,Maps to value
180,2128000419,2128021591,Maps to value
181,2128000419,2128021592,Maps to value
182,2128000419,2128021593,Maps to value
183,2128000419,2128021594,Maps to value
184,2128000419,2128021595,Maps to value
185,2128000419,2128021596,Maps to value
186,2128000419,2128021597,Maps to value
187,2128000419,2128021598,Maps to value
188,2128000419,2128021599,Maps to value
189,2128000419,2128021600,Maps to value
190,2128000419,2128021601,Maps to value
191,2128000419,2128021602,Maps to value
192,2128000419,2128021603,Maps to value
193,2128000419,2128021604,Maps to value
194,2128000419,2128021605,Maps to value
195,2128000419,2128021606,Maps to value
196,2128000419,2128021607,Maps to value
197,2128000419,2128021608,Maps to value
198,2128000419,2128021609,Maps to value
199,2128000419,2128021610,Maps to value
200,2128000419,2128021611,Maps to value
201,2128000419,2128021612,Maps to value
202,2128000419,2128021613,Maps to value
203,2128000419,2128021614,Maps to value
204,2128000419,2128021615,Maps to value
205,2128000419,2128021616,Maps to value
206,2128000419,2128021617,Maps to value
207,2128000419,2128021618,Maps to value
208,2128000419,2128021619,Maps to value
209,2128000419,2128021620,Maps to value
210,2128000419,2128021621,Maps to value
211,2128000419,2128021622,Maps to value
212,2128000419,2128021623,Maps to value
213,2128000419,2128021624,Maps to value
214,2128000419,2128021625,Maps to value
215,2128000419,2128021626,Maps to value
216,2128000419,2128021627,Maps to value
217,2128000419,2128021628,Maps to value
218,2128000419,2128021629,Maps to value
219,2128000419,2128021630,Maps to value
220,2128000419,2128021631,Maps to value
221,2128000419,2128021632,Maps to value
222,2128000419,2128021633,Maps to value
223,2128000419,2128021634,Maps to value
224,2128000419,2128021635,Maps to value
225,2128000419,2128021636,Maps to value
226,2128000419,2128021637,Maps to value
227,2128000419,2128021638,Maps to value
228,2128000419,2128021639,Maps to value
229,2128000419,2128021640,Maps to value
230,2128000419,2128021641,Maps to value
231,2128000419,2128021642,Maps to value
232,2128000419,2128021643,Maps to value
233,2128000419,2128021644,Maps to value
234,2128000419,2128021645,Maps to value
235,2128000419,2128021646,Maps to value
236,2128000419,2128021647,Maps to value
237,2128000419,2128021648,Maps to value
238,2128000419,2128021649,Maps to value
239,2128000419,2128021650,Maps to value
240,2128000419,2128021651,Maps to value
241,2128000419,2128021652,Maps to value
242,2128000419,2128021653,Maps to value
243,2128000419,2128021654,Maps to value
244,2128000419,2128021655,Maps to value
245,2128000419,2128021656,Maps to value
246,2128000419,2128021657,Maps to value
247,2128000419,2128021658,Maps to value
248,2128000419,2128021659,Maps to value
249,2128000419,2128021660,Maps to value
250,2128000419,2128021661,Maps to value
251,2128000419,2128021662,Maps to value
252,2128000419,2128021663,Maps to value
253,2128000419,2128021664,Maps to value
254,2128000419,2128021665,Maps to value
255,2128000419,2128021666,Maps to value
256,2128000419,2128021667,Maps to value
257,2128000419,2128021668,Maps to value
258,2128000419,2128021669,Maps to value
259,2128000419,2128021670,Maps to value
260,2128000419,2128021671,Maps to value
261,2128000419,2128021672,Maps to value
262,2128000419,2128021673,Maps to value
263,2128000419,2128021674,Maps to value
264,2128000419,2128021675,Maps to value
265,2128000419,2128021676,Maps to value
266,2128000419,2128021677,Maps to value
267,2128000419,2128021678,Maps to value
268,2128000419,2128021679,Maps to value
269,2128000419,2128021680,Maps to value
270,2128000419,2128021681,Maps to value
271,2128000419,2128021682,Maps to value
272,2128000419,2128021683,Maps to value
273,2128000419,2128021684,Maps to value
274,2128000419,2128021685,Maps to value
275,2128000419,2128021686,Maps to value
276,2128000419,2128021687,Maps to value
277,2128000419,2128021688,Maps to value
278,2128000419,2128021689,Maps to value
279,2128000419,2128021690,Maps to value
280,2128000419,2128021691,Maps to value
281,2128000419,2128021692,Maps to value
282,2128000419,2128021693,Maps to value
283,2128000419,2128021694,Maps to value
284,2128000419,2128021695,Maps to value
285,2128000419,2128021696,Maps to value
286,2128000419,2128021697,Maps to value
287,2128000419,2128021698,Maps to value
288,2128000419,2128021699,Maps to value
289,2128000419,2128021700,Maps to value
290,2128000419,2128021701,Maps to value
291,2128000419,2128021702,Maps to value
292,2128000419,2128021703,Maps to value
293,2128000419,2128021704,Maps to value
294,2128000419,2128021705,Maps to value
295,2128000419,2128021706,Maps to value
296,2128000419,2128021707,Maps to value
297,2128000419,2128021708,Maps to value
298,2128000419,2128021709,Maps to value
299,2128000419,2128021710,Maps to value
300,2128000419,2128021711,Maps to value
301,2128000419,2128021712,Maps to value
302,2128000419,2128021713,Maps to value
303,2128000419,2128021714,Maps to value
304,2128000419,2128021715,Maps to value
305,2128000419,2128021716,Maps to value
306,2128000419,2128021717,Maps to value
307,2128000419,2128021718,Maps to value
308,2128000419,2128021719,Maps to value
309,2128000419,2128021720,Maps to value
310,2128000419,2128021721,Maps to value
311,2128000419,2128021722,Maps to value
312,2128000419,2128021723,Maps to value
313,2128000419,2128021724,Maps to value
314,2128000419,2128021725,Maps to value
315,2128000419,2128021726,Maps to value
316,2128000419,2128021727,Maps to value
317,2128000419,2128021728,Maps to value
318,2128000419,2128021729,Maps to value
319,2128000419,2128021730,Maps to value
320,2128000419,2128021731,Maps to value
321,2128000419,2128021732,Maps to value
322,2128000419,2128021733,Maps to value
323,2128000419,2128021734,Maps to value
324,2128000419,2128021735,Maps to value
325,2128000419,2128021736,Maps to value
326,2128000419,2128021737,Maps to value
327,2128000419,2128021738,Maps to value
328,2128000419,2128021739,Maps to value
329,2128000419,2128021740,Maps to value
330,2128000419,2128021741,Maps to value
331,2128000419,2128021742,Maps to value
332,2128000419,2128021743,Maps to value
333,2128000419,2128021744,Maps to value
334,2128000419,2128021745,Maps to value
335,2128000419,2128021746,Maps to value
336,2128000419,2128021747,Maps to value
337,2128000419,2128021748,Maps to value
338,2128000419,2128021749,Maps to value
339,2128000419,2128021750,Maps to value
340,2128000419,2128021751,Maps to value
341,2128000419,2128021752,Maps to value
342,2128000419,2128021753,Maps to value
343,2128000419,2128021754,Maps to value
344,2128000419,2128021755,Maps to value
345,2128000419,2128021756,Maps to value
346,2128000419,2128021757,Maps to value
347,2128000419,2128021758,Maps to value
348,2128000419,2128021759,Maps to value
349,2128000419,2128021760,Maps to value
350,2128000419,2128021761,Maps to value
351,2128000419,2128021762,Maps to value
352,2128000419,2128021763,Maps to value
353,2128000419,2128021764,Maps to value
354,2128000419,2128021765,Maps to value
355,2128000419,2128021766,Maps to value
356,2128000419,2128021767,Maps to value
357,2128000419,2128021768,Maps to value
358,2128000419,2128021769,Maps to value
359,2128000419,2128021770,Maps to value
360,2128000419,2128021771,Maps to value
361,2128000419,2128021772,Maps to value
362,2128000419,2128021773,Maps to value
363,2128000419,2128021774,Maps to value
364,2128000419,2128021775,Maps to value
365,2128000419,2128021776,Maps to value
366,2128000419,2128021777,Maps to value
367,2128000419,2128021778,Maps to value
368,2128000419,2128021779,Maps to value
369,2128000419,2128021780,Maps to value
370,2128000419,2128021781,Maps to value
371,2128000419,2128021782,Maps to value
372,2128000419,2128021783,Maps to value
373,2128000419,2128021784,Maps to value
374,2128000419,2128021785,Maps to value
375,2128000419,2128021786,Maps to value
376,2128000419,2128021787,Maps to value
377,2128000419,2128021788,Maps to value
378,2128000419,2128021789,Maps to value
379,2128000419,2128021790,Maps to value
380,2128000419,2128021791,Maps to value
381,2128000419,2128021792,Maps to value
382,2128000419,2128021793,Maps to value
383,2128000419,2128021794,Maps to value
384,2128000419,2128021795,Maps to value
385,2128000419,2128021796,Maps to value
386,2128000419,2128021797,Maps to value
387,2128000419,2128021798,Maps to value
388,2128000419,2128021799,Maps to value
389,2128000419,2128021800,Maps to value
390,2128000419,2128021801,Maps to value
391,2128000419,2128021802,Maps to value
392,2128000419,2128021803,Maps to value
393,2128000419,2128021804,Maps to value
394,2128000419,2128021805,Maps to value
395,2128000419,2128021806,Maps to value
396,2128000419,2128021807,Maps to value
397,2128000419,2128021808,Maps to value
0,2128000035,2128015295,Maps to value
1,2128000035,2128015296,Maps to value
2,2128000035,2128015297,Maps to value
3,2128000035,2128015298,Maps to value
4,2128000035,2128015299,Maps to value
5,2128000035,2128015300,Maps to value
6,2128000035,2128015301,Maps to value
7,2128000035,2128015302,Maps to value
8,2128000035,2128015303,Maps to value
9,2128000035,2128015304,Maps to value
10,2128000035,2128015305,Maps to value
11,2128000035,2128015306,Maps to value
